Fecha,Prroductos,TotalConsumidoLt,miembro,year,month,day
36:29.7,jugo,2,abuela,2021,9,6
43:19.7,te,1,mama,2021,4,17
56:08.5,te,1,abuela,2021,11,24
27:55.3,agua,2,papa,2021,2,24
40:58.4,refresco,2,hija,2021,2,3
50:27.4,jugo,3,abuela,2021,10,30
37:57.2,agua,3,papa,2021,4,6
11:15.1,te,1,hijo,2021,6,17
48:53.2,refresco,1,abuela,2021,7,3
45:59.1,te,0,abuelo,2021,1,30
37:28.5,te,2,hijo,2021,11,3
29:54.3,jugo,3,abuelo,2021,9,25
19:10.7,refresco,1,abuelo,2021,2,1
56:13.5,agua,0,mama,2021,6,12
17:50.7,agua,1,papa,2021,7,14
09:12.0,agua,2,abuelo,2021,6,11
30:59.5,te,3,hija,2021,2,20
08:23.5,refresco,1,abuela,2021,3,9
50:32.1,agua,1,papa,2021,8,26
17:23.5,refresco,1,hijo,2021,10,22
39:10.8,refresco,1,papa,2021,6,3
53:14.5,agua,1,hija,2021,6,23
21:09.0,jugo,1,abuelo,2021,6,6
21:10.4,jugo,1,hija,2021,3,2
50:02.9,agua,0,hija,2021,2,17
21:03.7,jugo,2,papa,2021,11,1
50:27.9,agua,2,abuelo,2021,7,7
23:04.4,jugo,2,hijo,2021,7,17
17:49.8,jugo,1,hija,2021,7,27
04:23.7,agua,0,hija,2021,4,21
04:08.0,te,1,abuela,2021,8,23
35:10.9,jugo,2,mama,2021,2,15
51:43.8,agua,2,papa,2021,3,12
30:59.4,jugo,1,hija,2021,9,11
25:18.1,agua,0,abuela,2021,6,21
55:57.1,refresco,3,papa,2021,5,24
37:32.7,refresco,2,papa,2021,11,25
00:46.9,refresco,0,papa,2021,12,17
11:22.8,agua,3,hijo,2021,8,3
57:37.9,te,2,abuela,2021,1,22
05:43.6,agua,0,hijo,2021,8,17
38:30.2,refresco,2,hijo,2021,9,29
01:09.1,agua,1,abuelo,2021,9,18
08:10.6,te,0,hija,2021,7,2
27:07.8,jugo,0,abuela,2021,8,20
48:36.9,agua,1,mama,2021,2,9
07:17.8,jugo,1,hija,2021,10,12
17:41.6,jugo,2,hija,2021,1,29
32:24.5,agua,3,abuela,2021,10,21
08:01.8,jugo,3,hija,2021,2,27
48:47.6,refresco,1,abuela,2021,4,26
39:19.1,te,2,abuelo,2021,12,18
47:14.1,agua,1,abuela,2021,11,16
53:26.5,jugo,1,abuela,2021,3,5
25:22.4,refresco,2,hija,2021,8,16
43:15.2,te,1,hijo,2021,3,16
22:10.6,refresco,3,hija,2021,11,12
34:58.1,te,3,abuela,2021,9,25
37:52.4,te,2,mama,2021,1,7
19:54.8,refresco,0,hijo,2021,4,5
59:59.5,te,1,papa,2021,4,26
14:52.8,jugo,1,mama,2021,9,20
53:25.3,te,3,hija,2021,11,22
44:29.5,jugo,1,hijo,2021,3,15
41:51.1,jugo,2,hijo,2021,6,10
02:17.6,refresco,3,abuelo,2021,9,19
38:10.5,te,1,abuelo,2021,7,17
48:11.3,refresco,3,abuela,2021,5,23
30:55.3,te,3,hijo,2021,12,22
21:53.6,te,1,hija,2021,2,20
31:39.3,refresco,0,mama,2021,7,17
30:12.6,jugo,2,hija,2021,3,6
57:00.7,agua,1,hija,2021,8,7
52:54.2,refresco,2,abuela,2021,8,4
11:39.9,jugo,0,papa,2021,3,7
00:40.6,jugo,2,mama,2021,9,4
52:05.4,te,0,abuelo,2021,10,5
12:58.5,jugo,1,abuela,2021,12,5
54:02.6,jugo,1,mama,2021,7,14
01:25.9,jugo,2,hijo,2021,1,9
13:45.9,te,1,papa,2021,1,21
32:46.3,jugo,0,abuelo,2021,6,9
50:40.0,te,2,papa,2021,9,27
09:48.0,te,2,hija,2021,5,31
15:36.1,te,2,abuelo,2021,12,26
24:48.9,jugo,3,mama,2021,9,6
47:56.8,te,1,abuela,2021,4,1
58:17.3,jugo,1,abuela,2021,1,7
05:37.0,agua,2,papa,2021,1,27
42:02.9,refresco,2,hija,2021,4,7
33:46.4,te,3,mama,2021,7,13
02:34.6,te,2,abuela,2021,3,3
22:54.5,refresco,1,hija,2021,12,11
51:28.0,refresco,3,papa,2021,4,30
57:38.4,jugo,1,abuelo,2021,9,29
50:50.8,jugo,2,abuelo,2021,11,28
45:04.9,te,2,hija,2021,11,8
16:39.6,agua,3,hijo,2021,7,7
26:19.5,te,1,mama,2021,1,23
24:50.2,agua,1,mama,2021,12,1
10:26.5,agua,3,hijo,2021,7,26
19:06.5,refresco,1,abuelo,2021,5,22
46:46.3,jugo,2,mama,2021,2,7
10:30.8,refresco,2,hijo,2021,8,31
36:22.5,refresco,2,hijo,2021,8,13
18:35.0,agua,2,abuela,2021,2,21
42:18.4,agua,1,abuelo,2021,5,13
54:19.9,refresco,2,papa,2021,4,15
41:46.6,te,0,abuelo,2021,12,29
24:41.8,refresco,3,abuela,2021,12,13
51:09.8,te,1,mama,2021,6,12
09:12.2,refresco,2,abuelo,2021,12,8
40:55.5,refresco,2,mama,2021,3,15
36:26.5,refresco,3,abuelo,2021,12,30
06:08.9,refresco,2,abuela,2021,3,15
27:13.3,refresco,1,hijo,2021,11,18
24:12.8,jugo,3,papa,2021,12,24
43:37.3,te,1,hija,2021,6,25
28:53.4,jugo,2,mama,2021,3,20
17:02.2,jugo,2,abuelo,2021,10,5
14:20.8,refresco,1,hijo,2021,6,20
39:53.2,refresco,0,hijo,2021,7,10
42:34.3,jugo,1,abuelo,2021,4,27
48:52.4,agua,1,hijo,2021,9,16
48:07.2,te,1,abuela,2021,8,11
29:04.7,te,2,hijo,2021,5,17
07:18.1,refresco,1,hija,2021,3,27
05:32.7,te,1,hija,2021,4,9
55:15.8,agua,1,mama,2021,11,5
20:49.1,te,2,abuela,2021,4,9
15:35.7,jugo,3,abuelo,2021,10,28
35:25.8,agua,0,abuela,2021,3,31
46:39.0,agua,3,mama,2021,11,13
29:12.4,te,0,papa,2021,8,13
50:59.5,te,3,papa,2021,6,16
54:39.4,agua,2,hijo,2021,9,2
46:00.0,jugo,1,mama,2021,5,2
40:09.1,agua,0,abuelo,2021,1,28
33:25.5,agua,3,mama,2021,10,19
57:01.1,agua,0,hijo,2021,11,5
42:30.5,te,2,hijo,2021,4,26
53:37.0,jugo,3,abuela,2021,12,18
16:30.7,agua,0,papa,2021,1,10
40:55.3,te,2,abuela,2021,2,15
50:53.1,refresco,1,hijo,2021,10,27
24:34.3,agua,1,hijo,2021,8,5
21:39.1,jugo,0,mama,2021,12,20
46:28.0,jugo,1,abuela,2021,12,12
45:19.1,jugo,0,abuelo,2021,2,16
30:25.1,refresco,1,hijo,2021,11,12
26:38.0,te,2,abuelo,2021,12,5
01:27.6,jugo,2,hija,2021,5,17
47:46.2,jugo,1,abuelo,2021,4,20
09:17.3,te,2,hijo,2021,4,21
10:29.4,refresco,3,abuelo,2021,6,14
30:33.3,refresco,2,hija,2021,1,17
36:32.2,agua,0,hija,2021,1,25
57:53.8,refresco,2,abuela,2021,5,25
22:23.6,refresco,1,papa,2021,1,21
07:17.9,refresco,1,papa,2021,3,29
11:16.9,te,1,hijo,2021,11,28
36:45.8,refresco,3,abuela,2021,2,3
59:04.0,jugo,1,hija,2021,6,10
20:57.5,te,2,hija,2021,9,21
09:06.1,agua,0,papa,2021,2,15
15:44.0,agua,1,abuela,2021,3,14
22:33.2,agua,2,papa,2021,1,26
11:43.1,te,1,papa,2021,8,2
45:27.1,te,0,abuelo,2021,7,17
11:29.5,agua,0,hijo,2021,7,14
41:13.3,agua,3,abuelo,2021,7,20
44:03.7,te,2,hijo,2021,11,27
10:11.8,agua,1,hijo,2021,9,6
31:52.3,refresco,2,abuela,2021,5,16
34:31.7,jugo,1,abuela,2021,6,11
20:43.8,refresco,2,papa,2021,7,4
23:22.4,agua,3,hijo,2021,7,1
01:39.0,agua,2,hija,2021,3,13
57:59.3,te,3,papa,2021,11,21
23:32.9,agua,3,hijo,2021,1,6
07:25.6,refresco,1,abuelo,2021,5,29
20:50.1,agua,3,mama,2021,4,15
20:13.5,refresco,1,abuelo,2021,2,22
24:50.7,te,0,abuela,2021,12,25
54:11.1,te,2,mama,2021,5,6
14:08.1,jugo,1,abuela,2021,6,14
47:39.7,jugo,2,papa,2021,12,12
37:21.7,agua,1,abuela,2021,7,25
18:43.0,jugo,1,abuela,2021,3,2
20:26.2,jugo,0,papa,2021,5,31
18:07.2,te,2,hijo,2021,8,8
48:06.2,refresco,3,hijo,2021,12,9
17:45.5,refresco,3,abuelo,2021,1,7
26:07.6,refresco,2,papa,2021,7,23
45:44.2,refresco,2,hija,2021,12,8
05:44.7,agua,2,mama,2021,3,23
54:32.9,te,2,hijo,2021,7,10
55:33.2,agua,2,mama,2021,4,21
31:49.2,refresco,2,abuelo,2021,12,31
35:09.2,jugo,0,papa,2021,8,15
02:01.1,jugo,2,hijo,2021,7,11
09:56.0,agua,2,mama,2021,5,20
01:00.9,jugo,1,mama,2021,5,29
33:49.6,refresco,0,abuela,2021,8,6
49:11.9,jugo,1,mama,2021,4,26
42:34.3,jugo,3,abuela,2021,1,8
51:15.8,refresco,1,papa,2021,9,10
15:53.8,refresco,3,hija,2021,12,6
34:45.5,refresco,1,papa,2021,11,10
49:45.6,jugo,1,abuelo,2021,12,11
07:10.9,agua,3,mama,2021,7,19
34:53.2,jugo,2,hija,2021,11,14
59:54.5,refresco,2,abuelo,2021,7,5
58:50.7,agua,1,mama,2021,1,15
59:52.3,jugo,2,hijo,2021,11,1
50:26.8,agua,1,abuelo,2021,8,15
16:32.2,te,1,mama,2021,12,13
34:13.3,agua,0,mama,2021,6,17
26:46.5,jugo,2,hijo,2021,5,19
54:57.9,jugo,2,abuela,2021,9,4
28:04.3,agua,2,abuelo,2021,4,3
45:11.5,te,1,abuela,2021,7,4
53:00.1,refresco,0,abuela,2021,6,3
25:00.9,te,3,mama,2021,2,17
53:22.3,agua,1,papa,2021,12,6
53:07.1,te,0,hijo,2021,8,11
26:18.1,agua,3,abuelo,2021,11,20
44:04.1,refresco,2,hijo,2021,2,15
46:08.2,jugo,2,abuela,2021,6,8
28:47.0,te,1,abuelo,2021,3,22
26:10.9,refresco,3,abuelo,2021,12,25
27:49.2,jugo,1,abuela,2021,3,13
29:49.8,refresco,3,abuela,2021,3,14
22:50.2,te,2,hija,2021,4,8
21:31.9,agua,1,papa,2021,6,29
57:29.5,jugo,2,mama,2021,1,9
19:49.2,jugo,1,papa,2021,11,18
46:23.9,jugo,1,hijo,2021,7,19
35:38.8,te,2,abuelo,2021,9,1
11:36.7,te,3,abuela,2021,4,28
22:52.3,refresco,0,abuela,2021,10,4
31:45.9,refresco,2,mama,2021,1,7
02:36.2,te,2,abuelo,2021,9,15
28:57.4,jugo,0,mama,2021,3,22
13:15.3,te,1,hijo,2021,11,12
43:14.0,refresco,0,hijo,2021,9,24
48:11.7,te,1,mama,2021,6,6
18:54.8,agua,2,papa,2021,12,24
26:15.3,refresco,3,abuelo,2021,9,22
55:17.3,jugo,1,abuela,2021,4,26
49:12.5,refresco,1,papa,2021,4,11
20:19.6,refresco,2,abuelo,2021,1,23
28:46.8,agua,3,abuela,2021,12,3
36:51.3,agua,3,hija,2021,4,28
07:04.9,te,1,hijo,2021,5,15
16:49.6,jugo,1,mama,2021,1,7
16:56.0,refresco,2,hijo,2021,12,18
12/04/2021 04:36,agua,1,hija,2021,4,12
40:27.3,agua,2,abuela,2021,8,31
56:04.8,agua,1,abuelo,2021,9,15
16:16.2,refresco,3,mama,2021,2,19
07:11.7,te,2,abuelo,2021,7,27
29:45.6,agua,1,abuelo,2021,6,30
05:58.5,refresco,3,abuela,2021,8,22
23:34.7,refresco,1,papa,2021,12,18
39:21.7,jugo,2,hijo,2021,5,8
05:03.4,agua,2,abuelo,2021,9,3
37:04.4,te,2,abuela,2021,3,29
37:18.8,te,0,papa,2021,7,20
02:22.8,te,0,abuela,2021,10,23
30:37.6,agua,3,abuelo,2021,9,28
30:08.3,te,1,abuelo,2021,5,27
58:34.5,agua,1,hija,2021,10,17
15:09.7,jugo,2,papa,2021,1,22
32:05.6,refresco,2,papa,2021,12,1
56:18.4,refresco,0,mama,2021,3,27
42:35.3,jugo,2,papa,2021,10,20
24:02.6,refresco,3,mama,2021,3,14
11:45.7,jugo,2,abuela,2021,4,7
10:08.3,refresco,1,mama,2021,3,14
04:55.4,jugo,3,abuela,2021,3,7
07:23.3,te,1,mama,2021,11,28
17:48.8,jugo,2,mama,2021,5,26
50:50.9,jugo,1,hija,2021,2,12
39:34.5,agua,1,abuelo,2021,12,12
05:51.3,te,1,hija,2021,12,2
59:02.4,te,1,papa,2021,4,11
52:58.5,agua,0,abuela,2021,11,16
15:45.3,jugo,1,mama,2021,11,24
04:42.2,jugo,3,hija,2021,6,23
40:33.6,refresco,3,abuelo,2021,1,23
43:49.2,te,0,papa,2021,8,9
05:56.7,refresco,2,mama,2021,11,19
39:34.1,refresco,1,hija,2021,12,18
55:20.5,jugo,3,mama,2021,3,9
15:40.6,refresco,1,papa,2021,3,11
02:00.3,agua,1,hijo,2021,7,10
56:37.7,jugo,3,hija,2021,1,24
05:22.7,refresco,2,mama,2021,4,5
33:53.6,refresco,2,papa,2021,7,8
38:10.6,agua,1,abuelo,2021,1,22
11:07.3,te,1,abuela,2021,3,11
41:36.0,agua,2,papa,2021,6,7
23:52.6,refresco,2,hija,2021,12,1
24:39.7,te,2,mama,2021,7,30
19:04.2,te,0,abuela,2021,11,15
21:45.1,jugo,1,abuela,2021,4,9
13:37.0,jugo,0,abuelo,2021,11,11
04:45.7,te,1,hija,2021,5,29
10:46.5,jugo,1,abuelo,2021,2,19
34:14.4,jugo,2,papa,2021,3,20
52:53.3,te,2,abuelo,2021,10,7
24:14.3,agua,2,abuelo,2021,1,5
30:18.9,refresco,2,abuelo,2021,6,20
51:09.3,jugo,2,hijo,2021,7,11
08:52.9,te,2,papa,2021,3,24
49:22.9,te,3,papa,2021,3,3
38:54.8,jugo,0,abuelo,2021,5,18
26:24.0,agua,2,papa,2021,9,11
17:43.5,refresco,0,papa,2021,1,16
40:19.3,jugo,0,hijo,2021,1,28
12:04.9,jugo,2,hijo,2021,10,19
21:19.1,te,1,mama,2021,5,6
32:36.6,te,0,mama,2021,1,28
21:49.2,agua,1,papa,2021,9,30
46:48.5,refresco,2,mama,2021,2,20
24:11.6,jugo,2,papa,2021,7,9
19:00.4,te,3,hija,2021,10,30
19:49.2,te,3,hija,2021,11,15
16:25.0,te,1,hija,2021,9,22
54:18.1,jugo,2,abuelo,2021,9,17
45:57.6,te,2,mama,2021,9,27
18:40.0,jugo,1,papa,2021,12,9
37:52.1,agua,3,abuela,2021,10,1
31:57.7,agua,2,hijo,2021,2,20
53:48.1,jugo,1,hija,2021,12,28
25:47.4,refresco,2,mama,2021,6,24
53:56.2,refresco,3,abuelo,2021,6,26
26:11.2,agua,2,hijo,2021,7,17
20:30.3,refresco,1,hijo,2021,1,27
44:06.1,refresco,0,abuelo,2021,8,25
45:25.4,refresco,1,abuela,2021,5,31
48:12.8,refresco,3,hijo,2021,6,21
04:58.7,te,0,hijo,2021,10,6
30:27.9,te,1,hijo,2021,4,5
47:40.2,refresco,0,papa,2021,4,19
19:34.8,agua,1,hijo,2021,8,4
35:37.7,jugo,0,hijo,2021,6,1
48:24.7,agua,3,papa,2021,6,9
46:27.7,agua,1,papa,2021,12,17
26:17.8,te,2,papa,2021,1,9
23:05.5,jugo,1,abuelo,2021,2,22
30:13.7,te,1,hijo,2021,5,16
47:39.2,te,2,papa,2021,3,21
53:34.3,agua,2,mama,2021,6,10
26:05.8,jugo,3,abuela,2021,4,6
49:48.2,te,3,abuelo,2021,11,5
08:59.4,refresco,2,hijo,2021,5,11
02:03.4,jugo,1,hijo,2021,3,3
37:51.2,agua,2,papa,2021,6,10
54:52.6,refresco,1,abuela,2021,5,10
02:44.7,jugo,1,abuela,2021,6,10
53:47.8,agua,1,abuela,2021,12,28
48:20.7,te,3,papa,2021,9,6
16:28.4,jugo,2,hija,2021,6,4
